Arise - Arose - Arisen,Timbul
Timbul,Arise - Arose - Arisen
Awake - Awoke - Awoken,Bangun
Bangun,Awake - Awoke - Awoken
Be (Is/Am/Are) - Was/Were - Been,Ada
Ada,Be (Is/Am/Are) - Was/Were - Been
Beat - Beat - Beaten,Memukul
Memukul,Beat - Beat - Beaten
Become - Became - Become,Menjadi
Menjadi,Become - Became - Become
Begin - Began - Begun,Memulai
Memulai,Begin - Began - Begun
Bend - Bent - Bent,Membengkokkan
Membengkokkan,Bend - Bent - Bent
Bet - Bet - Bet,Taruhan
Taruhan,Bet - Bet - Bet
Bind - Bound - Bound,Mengikat
Mengikat,Bind - Bound - Bound
Bite - Bit - Bitten,Menggigit
Menggigit,Bite - Bit - Bitten
Bleed - Bled - Bled,Berdarah
Berdarah,Bleed - Bled - Bled
Blow - Blew - Blown,Meniup
Meniup,Blow - Blew - Blown
Break - Broke - Broken,Mematahkan
Mematahkan,Break - Broke - Broken
Bring - Brought - Brought,Membawa
Membawa,Bring - Brought - Brought
Build - Built - Built,Membangun
Membangun,Build - Built - Built
Burst - Burst - Burst,Meledakkan
Meledakkan,Burst - Burst - Burst
Buy - Bought - Bought,Membeli
Membeli,Buy - Bought - Bought
Catch - Caught - Caught,Menangkap
Menangkap,Catch - Caught - Caught
Choose - Chose - Chosen,Memilih
Memilih,Choose - Chose - Chosen
Come - Came - Come,Datang
Datang,Come - Came - Come
Cost - Cost - Cost,Berharga
Berharga,Cost - Cost - Cost
Creep - Crept - Crept,Merangkak
Merangkak,Creep - Crept - Crept
Cut - Cut - Cut,Memotong
Memotong,Cut - Cut - Cut
Deal - Dealt - Dealt,Membagikan
Membagikan,Deal - Dealt - Dealt
Dig - Dug - Dug,Menggali
Menggali,Dig - Dug - Dug
Dive - Dove - Diven,Menyelam
Menyelam,Dive - Dove - Diven
Do - Did - Done,Melakukan
Melakukan,Do - Did - Done
Draw - Drew - Drawn,Menggambar
Menggambar,Draw - Drew - Drawn
Dream - Dreamed/dreamt - Dreamed/dreamt,Bermimpi
